word,value
팽이,18
출신,18
김수,18
새우,18
초대,18
팝잇,18
바람,18
쌍둥이,18
제발,18
자기님,18
이슬,18
영화,18
삼성전자,18
골프,18
동생,18
이기,18
김광,18
폼피,18
어둠,15
tv,15
스트레,15
이현,15
세종,15
조충,15
안재,15
어묵,14
어서,14
아카데,14
캐리커,14
삼성전자주,12
팽이버섯,11
카타르,10
프랑,10
대정부질,8
통통컬,6
트롯신,6
오총사,6
데이지,5
조개,5
열무얼갈,5
나상,5
간장게장,5
암호화폐주,5
진성호,5
임재,5
테슬라주,5
골프강,5
공부잘,5
지배,5
상한,5
새송이,5
워싱턴쌍둥,5
한달살,5
비트코인주,4
염증에좋은,4
순간포착세상에이런일,4
윤현민,4
쪽파김,4
오래된,3
저울,2
여사,2
선생,1
강호,1
넷플,1
